iter	MAE
0	7.896178025
1	7.840514325
2	7.784012246
3	7.742829716
4	7.690746618
5	7.650156118
6	7.595716514
7	7.551981398
8	7.510908153
9	7.477603004
10	7.442005593
11	7.4083241
12	7.370656506
13	7.33713214
14	7.3024486
15	7.26972502
16	7.234981411
17	7.194659563
18	7.173541034
19	7.134801475
20	7.107308524
21	7.083496116
22	7.047045069
23	7.013527593
24	6.986997531
25	6.960530884
26	6.933581915
27	6.908504824
28	6.882127416
29	6.853228553
30	6.82737155
31	6.810801251
32	6.778774768
33	6.757096735
34	6.732169211
35	6.711273514
36	6.690172852
37	6.668270441
38	6.653447656
39	6.633260478
40	6.619541443
41	6.603439548
42	6.584407945
43	6.568308134
44	6.553347081
45	6.536068494
46	6.510082969
47	6.488598993
48	6.475189186
49	6.45911077
50	6.441045621
51	6.427527101
52	6.418145935
53	6.403400937
54	6.390547561
55	6.378897334
56	6.3647323
57	6.355697693
58	6.346704309
59	6.335397057
60	6.321393495
61	6.308739388
62	6.29428766
63	6.281737804
64	6.26956774
65	6.25851676
66	6.248409136
67	6.237280411
68	6.229131595
69	6.218531197
70	6.208289288
71	6.196640473
72	6.187239328
73	6.1807444
74	6.165182287
75	6.155191356
76	6.146633719
77	6.135389348
78	6.124283245
79	6.110223582
80	6.101455326
81	6.090752521
82	6.083474204
83	6.076476509
84	6.068407112
85	6.060562988
86	6.057039687
87	6.047840027
88	6.041165261
89	6.031787643
90	6.016116751
91	6.00540171
92	5.994330038
93	5.984850804
94	5.976362961
95	5.969303705
96	5.957788704
97	5.948118078
98	5.939610279
99	5.930237063
