iter	Passed	Remaining
0	2	239
1	4	231
2	6	217
3	8	204
4	10	197
5	12	190
6	14	186
7	15	179
8	17	174
9	18	169
10	20	164
11	21	159
12	23	156
13	24	153
14	26	149
15	27	146
16	29	143
17	30	140
18	32	138
19	33	135
20	35	133
21	36	130
22	38	128
23	39	126
24	41	123
25	42	121
26	44	119
27	45	117
28	47	115
29	48	113
30	50	111
31	51	109
32	53	107
33	54	105
34	56	104
35	57	102
36	58	100
37	60	98
38	61	96
39	63	95
40	65	93
41	66	91
42	67	90
43	69	88
44	70	86
45	72	85
46	73	83
47	75	81
48	76	79
49	78	78
50	79	76
51	81	74
52	82	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	64
58	91	63
59	92	61
60	94	60
61	95	58
62	97	57
63	98	55
64	100	53
65	101	52
66	103	50
67	104	49
68	105	47
69	107	46
70	108	44
71	110	42
72	111	41
73	113	39
74	114	38
75	116	36
76	117	35
77	119	33
78	120	32
79	122	30
80	123	28
81	125	27
82	126	25
83	127	24
84	129	22
85	130	21
86	132	19
87	133	18
88	134	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	143	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
